epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.752,1.6293,2.33611,1.78677,0.475,0.19458,0.1695,0.07326,1.83757,7.88196,2.02607,0.0670528,0.0003328,0.0003328
2,410.096,1.66854,2.30362,1.82953,0.61139,0.20511,0.15838,0.07098,1.77439,7.5879,1.97103,0.0340523,0.000665681,0.000665681
3,607.523,1.63338,2.20482,1.77977,0.47006,0.22095,0.20135,0.09679,1.72857,6.4511,1.92806,0.00105009,0.000996756,0.000996756
4,804.873,1.59092,2.06621,1.74233,0.3098,0.26294,0.21028,0.09658,1.8006,6.68702,1.9633,0.000993906,0.000993906,0.000993906
5,1001.51,1.53749,1.94048,1.7015,0.54865,0.27355,0.26847,0.12482,1.74855,5.01888,1.87426,0.000989183,0.000989183,0.000989183
6,1197.98,1.51664,1.88724,1.68439,0.49749,0.32071,0.30728,0.15982,1.55075,7.27713,1.73306,0.000983133,0.000983133,0.000983133
7,1394.77,1.48594,1.79672,1.65151,0.39219,0.33006,0.30071,0.15429,1.61257,4.71485,1.76898,0.000975773,0.000975773,0.000975773
8,1590.89,1.44869,1.73826,1.63334,0.45896,0.34122,0.3375,0.19028,1.47059,4.65689,1.66205,0.000967122,0.000967122,0.000967122
9,1787.52,1.41923,1.6708,1.6104,0.5273,0.35532,0.35015,0.19244,1.46717,6.90882,1.65566,0.000957205,0.000957205,0.000957205
10,1984.05,1.42601,1.63744,1.60814,0.51729,0.35265,0.33747,0.19325,1.4059,5.70997,1.59316,0.000946048,0.000946048,0.000946048
11,2180.57,1.38775,1.56899,1.57937,0.54522,0.33878,0.34399,0.18875,1.42104,6.84911,1.61786,0.000933683,0.000933683,0.000933683
12,2376.6,1.3808,1.54638,1.57514,0.58975,0.3557,0.3856,0.21059,1.43774,5.32956,1.62036,0.000920142,0.000920142,0.000920142
13,2573.06,1.35706,1.52328,1.56342,0.65721,0.34841,0.37787,0.21276,1.38702,6.75335,1.57491,0.000905463,0.000905463,0.000905463
14,2769.41,1.33978,1.47895,1.53892,0.5557,0.37732,0.39135,0.2311,1.35229,7.41288,1.56803,0.000889687,0.000889687,0.000889687
15,2965.46,1.32881,1.46001,1.53714,0.60352,0.38425,0.38212,0.22327,1.36419,7.19689,1.57164,0.000872857,0.000872857,0.000872857
16,3161.96,1.31878,1.42548,1.53435,0.47883,0.39725,0.38358,0.22278,1.35715,5.33118,1.55515,0.000855018,0.000855018,0.000855018
17,3358.19,1.30955,1.39778,1.51275,0.62053,0.36539,0.41632,0.24752,1.30392,5.43616,1.5171,0.00083622,0.00083622,0.00083622
18,3554.02,1.28252,1.35768,1.51033,0.52811,0.43273,0.42989,0.25412,1.32958,7.50365,1.51628,0.000816514,0.000816514,0.000816514
19,3749.69,1.28349,1.33693,1.48988,0.60477,0.38729,0.40342,0.24607,1.26144,5.6849,1.48738,0.000795954,0.000795954,0.000795954
20,3944.95,1.2673,1.3151,1.49493,0.53819,0.45061,0.44774,0.26746,1.266,6.81555,1.48608,0.000774596,0.000774596,0.000774596
21,4140.83,1.26851,1.31515,1.49646,0.56277,0.44898,0.45344,0.27375,1.2893,6.63882,1.50111,0.0007525,0.0007525,0.0007525
22,4336.65,1.26629,1.2798,1.48588,0.538,0.43936,0.44211,0.27046,1.24288,6.66917,1.47462,0.000729725,0.000729725,0.000729725
23,4532.13,1.24909,1.27048,1.47889,0.55133,0.43183,0.43957,0.26667,1.26398,6.51319,1.48968,0.000706335,0.000706335,0.000706335
