epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.54,1.32057,2.86708,1.40192,0.64231,0.24047,0.2321,0.13352,1.30966,23.1996,1.46387,0.070048,0.003328,0.003328
2,490.958,1.39149,2.06436,1.44631,0.38044,0.23437,0.18527,0.10106,1.52222,21.6976,1.66745,0.0400464,0.00665971,0.00665971
3,1227,1.50106,2.09556,1.53553,0.22963,0.2179,0.08885,0.04019,1.70213,25.7193,1.87354,0.0100382,0.0099849,0.0099849
4,1689.88,1.57615,2.16186,1.58652,0.23332,0.24376,0.19844,0.10067,1.59757,14.975,1.72455,0.00997803,0.00997803,0.00997803
5,1930.94,1.52596,1.98258,1.55861,0.26536,0.20674,0.18308,0.09223,1.59839,16.2288,1.75175,0.00996097,0.00996097,0.00996097
6,2168.65,1.48386,1.8873,1.53399,0.31985,0.26169,0.24683,0.13702,1.46796,12.1645,1.63522,0.00993906,0.00993906,0.00993906
7,2407.76,1.45891,1.8044,1.50894,0.29051,0.3302,0.26429,0.14844,1.43119,9.98127,1.5925,0.00991232,0.00991232,0.00991232
8,2647.06,1.43375,1.7051,1.48614,0.30816,0.30757,0.27315,0.15357,1.44307,12.3688,1.59863,0.00988079,0.00988079,0.00988079
9,2885.37,1.42841,1.6927,1.47949,0.39324,0.30692,0.28711,0.16296,1.40217,8.39106,1.55181,0.00984449,0.00984449,0.00984449
10,3124.52,1.39667,1.61271,1.45961,0.56468,0.28254,0.2645,0.15354,1.42776,12.8927,1.57423,0.00980345,0.00980345,0.00980345
11,3363.57,1.38073,1.59226,1.44752,0.42829,0.3159,0.30886,0.17763,1.36397,12.3286,1.52463,0.00975773,0.00975773,0.00975773
12,3605.76,1.3628,1.53478,1.44192,0.37327,0.31664,0.32766,0.18749,1.35365,11.6521,1.50314,0.00970736,0.00970736,0.00970736
13,4022.19,1.35427,1.51919,1.43065,0.42635,0.33181,0.31449,0.18702,1.33401,11.4772,1.48478,0.00965239,0.00965239,0.00965239
14,4289.79,1.33982,1.46143,1.41406,0.46436,0.33773,0.33496,0.1972,1.33096,13.6589,1.48824,0.00959289,0.00959289,0.00959289
15,4526.73,1.32589,1.45009,1.4122,0.42338,0.35381,0.36037,0.21011,1.31614,14.9031,1.46877,0.00952889,0.00952889,0.00952889
16,4763.42,1.31465,1.42366,1.40087,0.45209,0.38112,0.3366,0.20267,1.3297,9.35511,1.47745,0.00946048,0.00946048,0.00946048
17,5001.56,1.30466,1.39825,1.39502,0.57222,0.35267,0.36063,0.21874,1.31209,14.6286,1.45242,0.00938772,0.00938772,0.00938772
18,5242.37,1.29809,1.37461,1.38371,0.49205,0.38678,0.36225,0.22038,1.29042,14.414,1.43902,0.00931067,0.00931067,0.00931067
19,5481.01,1.28149,1.36261,1.37847,0.46676,0.41358,0.37461,0.22949,1.29687,13.3766,1.44453,0.00922942,0.00922942,0.00922942
20,5772.41,1.27763,1.33845,1.371,0.50247,0.39299,0.38162,0.22914,1.29489,13.9763,1.44644,0.00914405,0.00914405,0.00914405
21,6011.36,1.27412,1.33256,1.37401,0.5596,0.40934,0.41898,0.25434,1.26384,14.5627,1.41633,0.00905463,0.00905463,0.00905463
22,6369.19,1.26735,1.30756,1.3602,0.51506,0.41038,0.4053,0.2432,1.2504,15.6429,1.4114,0.00896127,0.00896127,0.00896127
23,6606.04,1.25777,1.29211,1.35579,0.54789,0.37866,0.39291,0.23704,1.27928,13.3839,1.42661,0.00886404,0.00886404,0.00886404
24,7164.22,1.25575,1.2771,1.35294,0.55891,0.41697,0.43104,0.25935,1.25204,14.7439,1.41099,0.00876305,0.00876305,0.00876305
25,7402.47,1.25371,1.28003,1.35064,0.50801,0.4034,0.38915,0.24103,1.2465,14.3142,1.40558,0.00865839,0.00865839,0.00865839
26,7639.98,1.2383,1.23184,1.34643,0.57239,0.428,0.44169,0.27042,1.23357,15.1718,1.4013,0.00855018,0.00855018,0.00855018
27,7877.48,1.22576,1.22935,1.34285,0.54205,0.43927,0.43541,0.26771,1.22524,15.7495,1.3906,0.00843851,0.00843851,0.00843851
28,8116.75,1.2313,1.22671,1.33318,0.56535,0.41945,0.42514,0.26419,1.21836,15.7427,1.38375,0.00832349,0.00832349,0.00832349
29,8358.4,1.22131,1.20396,1.33081,0.62626,0.41262,0.44575,0.27484,1.21545,13.0476,1.37331,0.00820525,0.00820525,0.00820525
30,8599.02,1.22279,1.19374,1.32658,0.57543,0.42186,0.43724,0.27479,1.19644,14.1999,1.36549,0.00808389,0.00808389,0.00808389
31,8861.72,1.22077,1.19434,1.32834,0.57073,0.42702,0.43794,0.2767,1.21151,15.082,1.37113,0.00795954,0.00795954,0.00795954
32,9104.49,1.20565,1.18362,1.31401,0.61485,0.40085,0.4423,0.27652,1.20871,18.2629,1.36881,0.00783231,0.00783231,0.00783231
33,9487.67,1.19571,1.16684,1.3109,0.58733,0.42154,0.44166,0.27812,1.19894,15.4532,1.3566,0.00770234,0.00770234,0.00770234
34,9735.82,1.18883,1.14687,1.30906,0.57993,0.44593,0.45853,0.28571,1.18969,17.4264,1.35586,0.00756976,0.00756976,0.00756976
35,10127.3,1.18938,1.13352,1.30245,0.57995,0.43726,0.46441,0.28741,1.19639,15.7612,1.35383,0.00743468,0.00743468,0.00743468
36,10364.8,1.17384,1.11893,1.29587,0.58851,0.41393,0.4383,0.27285,1.18862,15.9229,1.35455,0.00729725,0.00729725,0.00729725
37,10614.8,1.17903,1.11628,1.29565,0.60268,0.44099,0.47106,0.29695,1.17949,16.2865,1.33975,0.00715761,0.00715761,0.00715761
38,10941.9,1.16361,1.10473,1.29099,0.59156,0.44279,0.46807,0.29542,1.18164,14.8361,1.34398,0.00701588,0.00701588,0.00701588
39,11180.2,1.16905,1.10084,1.29275,0.6053,0.43176,0.47219,0.29784,1.16044,15.7051,1.32621,0.00687222,0.00687222,0.00687222
40,11486.9,1.15836,1.08836,1.28577,0.58879,0.45257,0.47683,0.29971,1.16986,15.9454,1.33253,0.00672675,0.00672675,0.00672675
41,11876.3,1.14288,1.07624,1.28223,0.6122,0.43433,0.4744,0.29946,1.15578,17.7684,1.32364,0.00657963,0.00657963,0.00657963
42,12235.8,1.15395,1.0676,1.28383,0.61954,0.43413,0.47687,0.30113,1.14922,15.6628,1.31914,0.00643101,0.00643101,0.00643101
43,12473.1,1.15214,1.07188,1.28268,0.62129,0.44898,0.48716,0.30608,1.15585,14.9305,1.32548,0.00628101,0.00628101,0.00628101
44,12710.3,1.13031,1.0484,1.27236,0.60324,0.472,0.49927,0.31469,1.15879,15.4712,1.32402,0.00612981,0.00612981,0.00612981
45,12948.8,1.12957,1.03888,1.26937,0.58428,0.46453,0.48089,0.30613,1.15198,16.2962,1.32193,0.00597754,0.00597754,0.00597754
46,13186.6,1.13049,1.02991,1.26725,0.6063,0.46845,0.4865,0.31095,1.14306,16.6979,1.31151,0.00582435,0.00582435,0.00582435
47,13438.5,1.11961,1.01988,1.25928,0.63689,0.4475,0.49841,0.31783,1.14541,17.5671,1.31509,0.0056704,0.0056704,0.0056704
48,13675.6,1.11565,1.01322,1.2585,0.60985,0.46489,0.49036,0.31381,1.13881,16.487,1.3106,0.00551584,0.00551584,0.00551584
49,13913.5,1.10738,1.01287,1.25679,0.65076,0.44792,0.49532,0.31677,1.14042,16.1459,1.30863,0.00536081,0.00536081,0.00536081
